Model,Replication,Accuracy,F1 Score,ROC AUC,Precision,Best Parameters
Logistic Regression,1,0.9755,0.9751,0.9980,0.9580,"{'C': 10, 'max_iter': 10000}"
Random Forest,1,0.9580,0.9574,0.9882,0.9643,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,2,0.9720,0.9733,0.9994,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,2,0.9685,0.9703,0.9987,0.9800,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,3,0.9755,0.9751,0.9945,0.9786,"{'C': 10, 'max_iter': 10000}"
Random Forest,3,0.9755,0.9759,0.9952,0.9726,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,4,0.9825,0.9808,0.9952,0.9697,"{'C': 10, 'max_iter': 10000}"
Random Forest,4,0.9720,0.9739,0.9960,0.9739,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,5,0.9790,0.9784,0.9986,0.9784,"{'C': 10, 'max_iter': 10000}"
Random Forest,5,0.9685,0.9673,0.9904,0.9638,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,6,0.9720,0.9722,0.9982,0.9790,"{'C': 10, 'max_iter': 10000}"
Random Forest,6,0.9790,0.9786,0.9989,0.9856,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,7,0.9755,0.9761,0.9964,0.9728,"{'C': 10, 'max_iter': 10000}"
Random Forest,7,0.9650,0.9630,0.9952,0.9924,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,8,0.9685,0.9707,0.9970,0.9613,"{'C': 10, 'max_iter': 10000}"
Random Forest,8,0.9790,0.9776,0.9945,0.9776,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,9,0.9301,0.9286,0.9857,0.9155,"{'C': 1, 'max_iter': 10000}"
Random Forest,9,0.9406,0.9435,0.9906,0.9660,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,10,0.9615,0.9635,0.9878,0.9539,"{'C': 10, 'max_iter': 10000}"
Random Forest,10,0.9580,0.9559,0.9938,0.9774,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,11,0.9755,0.9761,0.9981,0.9795,"{'C': 10, 'max_iter': 10000}"
Random Forest,11,0.9615,0.9642,0.9972,0.9801,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,12,0.9860,0.9865,0.9992,0.9865,"{'C': 10, 'max_iter': 10000}"
Random Forest,12,0.9545,0.9524,0.9967,0.9774,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,13,0.9755,0.9749,0.9975,0.9784,"{'C': 10, 'max_iter': 10000}"
Random Forest,13,0.9895,0.9898,0.9970,0.9799,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,14,0.9790,0.9784,0.9974,0.9714,"{'C': 10, 'max_iter': 10000}"
Random Forest,14,0.9476,0.9446,0.9936,0.9412,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,15,0.9650,0.9669,0.9918,0.9542,"{'C': 10, 'max_iter': 10000}"
Random Forest,15,0.9510,0.9510,0.9889,0.9252,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,16,0.9720,0.9739,0.9967,0.9739,"{'C': 10, 'max_iter': 10000}"
Random Forest,16,0.9476,0.9495,0.9967,0.9860,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,17,0.9685,0.9689,0.9951,0.9589,"{'C': 10, 'max_iter': 10000}"
Random Forest,17,0.9476,0.9495,0.9920,0.9156,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,18,0.9790,0.9789,0.9986,0.9720,"{'C': 10, 'max_iter': 10000}"
Random Forest,18,0.9755,0.9761,0.9966,0.9662,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,19,0.9860,0.9857,0.9981,0.9718,"{'C': 10, 'max_iter': 10000}"
Random Forest,19,0.9510,0.9521,0.9919,0.9720,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,20,0.9720,0.9742,0.9962,0.9679,"{'C': 10, 'max_iter': 10000}"
Random Forest,20,0.9615,0.9617,0.9915,0.9583,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,21,0.9720,0.9735,0.9962,0.9735,"{'C': 10, 'max_iter': 10000}"
Random Forest,21,0.9510,0.9517,0.9935,0.9583,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,22,0.9755,0.9767,0.9954,0.9671,"{'C': 10, 'max_iter': 10000}"
Random Forest,22,0.9650,0.9621,0.9944,0.9695,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}"
Logistic Regression,23,0.9860,0.9866,0.9979,0.9800,"{'C': 10, 'max_iter': 10000}"
Random Forest,23,0.9755,0.9744,0.9930,0.9708,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,24,0.9685,0.9682,0.9924,0.9580,"{'C': 10, 'max_iter': 10000}"
Random Forest,24,0.9580,0.9556,0.9929,0.9416,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,25,0.9755,0.9761,0.9898,0.9597,"{'C': 10, 'max_iter': 10000}"
Random Forest,25,0.9685,0.9677,0.9958,0.9854,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}"
Logistic Regression,26,0.9650,0.9677,0.9938,0.9615,"{'C': 10, 'max_iter': 10000}"
Random Forest,26,0.9720,0.9712,0.9956,0.9574,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}"
Logistic Regression,27,0.9580,0.9571,0.9911,0.9640,"{'C': 1, 'max_iter': 10000}"
Random Forest,27,0.9580,0.9574,0.9952,0.9643,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}"
Logistic Regression,28,0.9860,0.9874,0.9997,1.0000,"{'C': 10, 'max_iter': 10000}"
Random Forest,28,0.9126,0.9196,0.9842,0.9533,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Logistic Regression,29,0.9825,0.9823,0.9973,0.9789,"{'C': 10, 'max_iter': 10000}"
Random Forest,29,0.9825,0.9829,0.9994,0.9863,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}"
Logistic Regression,30,0.9685,0.9726,0.9966,0.9581,"{'C': 10, 'max_iter': 10000}"
Random Forest,30,0.9685,0.9705,0.9952,0.9737,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
